number,season,episode,airdate,title,tvmaze link
86,3,8,19 Jul 16,"Mr. Greg","https://www.tvmaze.com/episodes/860461/steven-universe-3x08-mr-greg"
87,3,9,20 Jul 16,"Too Short to Ride","https://www.tvmaze.com/episodes/860462/steven-universe-3x09-too-short-to-ride"
88,3,10,21 Jul 16,"The New Lars","https://www.tvmaze.com/episodes/860463/steven-universe-3x10-the-new-lars"
89,3,11,22 Jul 16,"Beach City Drift","https://www.tvmaze.com/episodes/860464/steven-universe-3x11-beach-city-drift"
90,3,12,25 Jul 16,"Restaurant Wars","https://www.tvmaze.com/episodes/861846/steven-universe-3x12-restaurant-wars"
91,3,13,26 Jul 16,"Kiki's Pizza Delivery Service","https://www.tvmaze.com/episodes/861847/steven-universe-3x13-kikis-pizza-delivery-service"
92,3,14,27 Jul 16,"Monster Reunion","https://www.tvmaze.com/episodes/876751/steven-universe-3x14-monster-reunion"
93,3,15,28 Jul 16,"Alone at Sea","https://www.tvmaze.com/episodes/876752/steven-universe-3x15-alone-at-sea"
94,3,16,29 Jul 16,"Greg the Babysitter","https://www.tvmaze.com/episodes/876753/steven-universe-3x16-greg-the-babysitter"
95,3,17,01 Aug 16,"Gem Hunt","https://www.tvmaze.com/episodes/876754/steven-universe-3x17-gem-hunt"
96,3,18,02 Aug 16,"Crack the Whip","https://www.tvmaze.com/episodes/877223/steven-universe-3x18-crack-the-whip"
97,3,19,03 Aug 16,"Steven vs. Amethyst","https://www.tvmaze.com/episodes/877224/steven-universe-3x19-steven-vs-amethyst"
98,3,20,04 Aug 16,"Bismuth, Parts 1 & 2 (30 min)","https://www.tvmaze.com/episodes/877225/steven-universe-3x20-bismuth-parts-1-2"
99,3,21,08 Aug 16,"Beta","https://www.tvmaze.com/episodes/877226/steven-universe-3x21-beta"
100,3,22,08 Aug 16,"Earthlings","https://www.tvmaze.com/episodes/877227/steven-universe-3x22-earthlings"
101,3,23,09 Aug 16,"Back to the Moon (30 min)","https://www.tvmaze.com/episodes/877228/steven-universe-3x23-back-to-the-moon"
102,3,24,10 Aug 16,"Bubbled (30 min)","https://www.tvmaze.com/episodes/877229/steven-universe-3x24-bubbled"
103,4,1,11 Aug 16,"Kindergarten Kid","https://www.tvmaze.com/episodes/877230/steven-universe-4x01-kindergarten-kid"
104,4,2,12 Aug 16,"Know Your Fusion (30 min)","https://www.tvmaze.com/episodes/877231/steven-universe-4x02-know-your-fusion"
105,4,3,18 Aug 16,"Buddy's Book (30 min)","https://www.tvmaze.com/episodes/881987/steven-universe-4x03-buddys-book"
106,4,4,25 Aug 16,"Mindful Education (30 min)","https://www.tvmaze.com/episodes/881988/steven-universe-4x04-mindful-education"
107,4,5,01 Sep 16,"Future Boy Zoltron","https://www.tvmaze.com/episodes/881989/steven-universe-4x05-future-boy-zoltron"
108,4,6,08 Sep 16,"Last One Out of Beach City","https://www.tvmaze.com/episodes/903640/steven-universe-4x06-last-one-out-of-beach-city"
109,4,7,15 Sep 16,"Onion Gang","https://www.tvmaze.com/episodes/903641/steven-universe-4x07-onion-gang"
110,4,8,17 Nov 16,"Gem Harvest, Parts 1 & 2 (30 min)","https://www.tvmaze.com/episodes/916587/steven-universe-4x08-gem-harvest-parts-1-2"
111,4,9,01 Dec 16,"Three Gems and a Baby","https://www.tvmaze.com/episodes/977395/steven-universe-4x09-three-gems-and-a-baby"
112,4,10,30 Jan 17,"Steven's Dream","https://www.tvmaze.com/episodes/1020995/steven-universe-4x10-stevens-dream"
113,4,11,30 Jan 17,"Adventures in Light Distortion","https://www.tvmaze.com/episodes/1020996/steven-universe-4x11-adventures-in-light-distortion"
114,4,12,31 Jan 17,"Gem Heist","https://www.tvmaze.com/episodes/1020997/steven-universe-4x12-gem-heist"
115,4,13,01 Feb 17,"The Zoo","https://www.tvmaze.com/episodes/1020998/steven-universe-4x13-the-zoo"
116,4,14,02 Feb 17,"That Will Be All","https://www.tvmaze.com/episodes/1020999/steven-universe-4x14-that-will-be-all"
117,4,15,10 Feb 17,"The New Crystal Gems","https://www.tvmaze.com/episodes/1059072/steven-universe-4x15-the-new-crystal-gems"
118,4,16,17 Feb 17,"Storm in the Room","https://www.tvmaze.com/episodes/1059073/steven-universe-4x16-storm-in-the-room"
119,4,17,24 Feb 17,"Rocknaldo","https://www.tvmaze.com/episodes/1059074/steven-universe-4x17-rocknaldo"
120,4,18,03 Mar 17,"Tiger Philanthropist","https://www.tvmaze.com/episodes/977396/steven-universe-4x18-tiger-philanthropist"
121,4,19,10 Mar 17,"Room for Ruby","https://www.tvmaze.com/episodes/1087359/steven-universe-4x19-room-for-ruby"
122,4,20,08 May 17,"Lion 4: Alternate Ending","https://www.tvmaze.com/episodes/1163940/steven-universe-4x20-lion-4-alternate-ending"
123,4,21,09 May 17,"Doug Out","https://www.tvmaze.com/episodes/1144075/steven-universe-4x21-doug-out"
124,4,22,10 May 17,"The Good Lars","https://www.tvmaze.com/episodes/1144076/steven-universe-4x22-the-good-lars"
125,4,23,11 May 17,"Are You My Dad?","https://www.tvmaze.com/episodes/1144077/steven-universe-4x23-are-you-my-dad"
126,4,24,11 May 17,"I Am My Mom","https://www.tvmaze.com/episodes/1144078/steven-universe-4x24-i-am-my-mom"
127,5,1,29 May 17,"Stuck Together","https://www.tvmaze.com/episodes/1164920/steven-universe-5x01-stuck-together"
